source	target
HIV Seropositivity	HIV Seroprevalence
Hodgkin Disease	Reed-Sternberg Cells
Holistic Health	Integrative Medicine
Homing Behavior	Animal Migration
Homeopathy	Formularies, Homeopathic
Homeopathy	Pharmacopoeias, Homeopathic
Homeostasis	Neuroimmunomodulation
Homes for the Aged	Housing for the Elderly
Homocystinuria	Cystathionine beta-Synthase
Hormones	Receptors, Cell Surface
Hormones	Receptors, Cytoplasmic and Nuclear
Hormones, Ectopic	Paraneoplastic Endocrine Syndromes
Hormones, Hormone Substitutes, and Hormone Antagonists	Endocrine Disruptors
Horseshoe Crabs	Limulus Test
Hospital Administration	Professional Staff Committees
Hospital Auxiliaries	Hospital Volunteers
Hospital Bed Capacity	Bed Occupancy
Hospital Records	Forms and Records Control
Hospitalization	Child, Hospitalized
Hospitalization	Institutionalization
Hospitalization	Length of Stay
Hospitalization	Patient Discharge
Hospitals	Economics, Hospital
Hospitals	Equipment and Supplies, Hospital
Hospitals	Hospital Administration
Hospitals, Animal	Practice Management, Veterinary
Hospitals, Special	Tertiary Care Centers
Human Development	Psychology, Developmental
Human Engineering	Psychology, Industrial
Human Experimentation	Bioethical Issues
Human Experimentation	Embryo Research
Human Experimentation	Ethics, Research
Human Experimentation	Fetal Research
Human Experimentation	Helsinki Declaration
Human Experimentation	Research Subjects
Human Rights	Civil Rights
Human Rights	Human Rights Abuses
Human Rights	Women's Rights
Humerus	Olecranon Process
Hyaline Membrane Disease	Hyalinosis, Systemic
Hybrid Vigor	Genetic Load
Hybrid Vigor	Hybridization, Genetic
Hybridization, Genetic	Crosses, Genetic
Hybridization, Genetic	Hybrid Vigor
Hybridomas	Antibodies, Monoclonal
Hydrocarbons, Chlorinated	Chlorine Compounds
Hydrocarbons, Cyclic	Polycyclic Compounds
Hydrocarbons, Fluorinated	Fluorocarbon Polymers
Hydrocephalus	Cerebral Ventriculitis
Hydrocephalus	Intracranial Hypertension
Hydrocephalus	Megalencephaly
Hydrochloric Acid	Gastric Acid
Hydrogen-Ion Concentration	Buffers
Hydroxymethylglutaryl CoA Reductases	Hydroxymethylglutaryl-CoA Reductase Inhibitors
Hydroxysteroids	Hydroxycorticosteroids
Hyperalgesia	Pain
Hyperinsulinism	Insulin
Hyperkalemia	Paralysis, Hyperkalemic Periodic
Hyperlipoproteinemias	Lipoproteins
Hyperparathyroidism	Multiple Endocrine Neoplasia Type 1
Hyperparathyroidism	Osteitis Fibrosa Cystica
Hyperphagia	Obesity
Hyperphagia	Overnutrition
Hyperplasia	Cell Proliferation
Hyperplasia	Precancerous Conditions
Hypersensitivity	Anti-Allergic Agents
Hypersensitivity	Desensitization, Immunologic
Hypersensitivity	Multiple Chemical Sensitivity
Hypersensitivity, Delayed	Cell Migration Inhibition
Hypersensitivity, Delayed	Encephalomyelitis, Acute Disseminated
Hypersensitivity, Immediate	Latex Hypersensitivity
Hypertension	Antihypertensive Agents
Hypertension	Vascular Resistance
Hypertension, Malignant	Hypertensive Encephalopathy
Hypertension, Portal	Portasystemic Shunt, Surgical
Hypertension, Pulmonary	Pulmonary Heart Disease
Hyperthermia, Induced	Hot Temperature
Hyperthyroidism	Antithyroid Agents
Hyperthyroidism	Long-Acting Thyroid Stimulator
Hypertrichosis	Hirsutism
Hypertrophy	Cell Enlargement
Hyperventilation	Hypocapnia
Hypnotics and Sedatives	Histamine H1 Antagonists
Hypnotics and Sedatives	Tranquilizing Agents
Hypolipoproteinemias	Lipoproteins
Hypophysectomy	Pituitary Irradiation
Hypoproteinemia	Protein-Losing Enteropathies
Hypotension	Syncope, Vasovagal
Hypotension, Orthostatic	Posture
Hypothalamic Hormones	Pituitary Hormones, Posterior
Hypothalamo-Hypophyseal System	Pituitary Hormone-Releasing Hormones
Hypothermia	Cold-Shock Response
Hypothermia	Rewarming
Hypothermia, Induced	Cryotherapy
Hypothermia, Induced	Rewarming
Hypothyroidism	Congenital Hypothyroidism
Hypothyroidism	Myxedema
Hypoxanthine Phosphoribosyltransferase	Gout
Hypoxanthine Phosphoribosyltransferase	Lesch-Nyhan Syndrome
Iatrogenic Disease	Infectious Disease Transmission, Professional-to-Patient
Iatrogenic Disease	Medical Errors
Ice	Dry Ice
Ice	Water
Iduronate Sulfatase	Mucopolysaccharidosis II
Iduronidase	Mucopolysaccharidosis I
Immunoglobulin A	Immunoglobulin J-Chains
Immunoglobulin E	Receptors, IgE
Immunoglobulin G	Receptors, IgG
Immunoglobulin M	Immunoglobulin J-Chains
Ileostomy	Surgical Stomas
Ileum	Ileostomy
Image Enhancement	Radiographic Image Enhancement
Image Enhancement	Subtraction Technique
Image Processing, Computer-Assisted	Diagnostic Imaging
Image Processing, Computer-Assisted	Multimodal Imaging
Imagination	Imagery (Psychotherapy)
Imidazoles	Benzimidazoles
Immersion	Diving
Immersion	Drowning
Immobilization	Disabled Persons
Immobilization	Fracture Fixation
Immobilization	Freezing Reaction, Cataleptic
Immobilization	Hypokinesia
Immobilization	Immobility Response, Tonic
Immobilization	Orthopedic Fixation Devices
Immune Sera	Immunization, Passive
Immune Tolerance	Graft vs Host Disease
Immune Tolerance	Immunocompromised Host
Immune Tolerance	Immunosuppression
Immunity	Immunologic Techniques
Immunity	Tumor Escape
Immunity, Active	Immunotherapy
Immunity, Cellular	Hypersensitivity, Delayed
Immunity, Maternally-Acquired	Immunization, Passive
Immunity, Innate	Inflammasomes
Immunochemistry	Immunoblotting
Immunochemistry	Immunologic Techniques
Immunoelectrophoresis	Blood Protein Electrophoresis
Immunoglobulin Allotypes	Genes, Immunoglobulin
Immunoglobulin Constant Regions	Immunoglobulin Domains
Immunoglobulin Gm Allotypes	Genes, Immunoglobulin
Immunoglobulin Joining Region	Genes, Immunoglobulin
Immunoglobulin Switch Region	Immunoglobulin Class Switching
Immunoglobulin Variable Region	Binding Sites, Antibody
Immunoglobulin Variable Region	Immunoglobulin Domains
Immunoglobulins	Immunity
Immunoglobulins	Paraproteinemias
Immunoglobulin Fc Fragments	Receptors, Fc
Immunoglobulin Heavy Chains	Heavy Chain Disease
Immunoglobulin J-Chains	Immunoglobulin A
Immunoglobulin J-Chains	Immunoglobulin M
Immunologic Capping	Receptors, Antigen, B-Cell
Immunologic Deficiency Syndromes	Immunocompromised Host
Immune System Diseases	Blood Protein Disorders
Immunologic Techniques	Immunotherapy
Immunosorbents	Enzyme-Linked Immunosorbent Assay
Immunosuppression	Antilymphocyte Serum
Immunosuppression	Immune Tolerance
Immunosuppression	Immunocompromised Host
Immunosuppressive Agents	Antilymphocyte Serum
Immunosuppressive Agents	Antirheumatic Agents
Disruptive, Impulse Control, and Conduct Disorders	Paraphilic Disorders
Disruptive, Impulse Control, and Conduct Disorders	Substance-Related Disorders
Impulsive Behavior	Delay Discounting
Inbreeding	Animals, Inbred Strains
Inbreeding	Consanguinity
Income	Salaries and Fringe Benefits
Incubators	Environment, Controlled
Incubators	Life Support Systems
Indians, North American	United States Indian Health Service
Indican	Hartnup Disease
Indicators and Reagents	Chelating Agents
Indicators and Reagents	Coloring Agents
Indicators and Reagents	Reagent Kits, Diagnostic
Indium	Indium Radioisotopes
Industrial Microbiology	Genetic Engineering
Industry	Commerce
Industry	Ethics, Business
Industry	Occupational Diseases
Industry	Occupational Medicine
Industry	Workplace
Infant Care	Child Care
Infant Care	Incubators, Infant
Infant Care	Intensive Care, Neonatal
Infant Food	Infant Formula
Infant Mortality	Fetal Death
Infant Mortality	Infant Death
Infant Nutritional Physiological Phenomena	Child Nutritional Physiological Phenomena
Infant Nutritional Physiological Phenomena	Milk
Infant Nutritional Physiological Phenomena	Milk, Human
Infant Nutrition Disorders	Child Nutrition Disorders
Infant Welfare	Infant Health
Infant, Newborn	Animals, Newborn
Infant, Newborn, Diseases	Congenital Abnormalities
Infant, Premature	Premature Birth
Infarction	Brain Infarction
Infarction	Brain Stem Infarctions
Infarction	Cerebral Infarction
Infarction	Infarction, Anterior Cerebral Artery
Infarction	Infarction, Middle Cerebral Artery
Infarction	Infarction, Posterior Cerebral Artery
Infarction	Myocardial Infarction
Infarction	Pulmonary Embolism
Infarction	Splenic Infarction
Infection	Anti-Infective Agents
Infertility, Male	Sperm Injections, Intracytoplasmic
Inflammation	Acute-Phase Reaction
Inflammation	Anti-Inflammatory Agents
Influenza, Human	Influenza Pandemic, 1918-1919
Information Services	Information Dissemination
Information Services	Libraries
Information Theory	Operations Research
Informed Consent	Disclosure
Informed Consent	Mental Competency
Informed Consent	Therapeutic Misconception
Informed Consent	Treatment Refusal
Infusions, Intravenous	Immunoglobulins, Intravenous
Infusions, Parenteral	Fluid Therapy
Infusions, Parenteral	Home Infusion Therapy
Injections, Epidural	Anesthesia, Epidural
Injections, Intramuscular	Intramuscular Absorption
Injections, Intraventricular	Cerebral Ventricles
Injections, Spinal	Anesthesia, Epidural
Injections, Spinal	Anesthesia, Spinal
Injections, Subcutaneous	Subcutaneous Absorption
Insanity Defense	Mental Competency
Insect Control	Chemosterilants
Insect Control	Insecticide Resistance
Insect Control	Pest Control, Biological
Insecticides	Cholinesterase Inhibitors
Insemination, Artificial	Fertilization in Vitro
Insemination, Artificial	Semen Preservation
Insemination, Artificial	Sperm Banks
Instinct	Libido
Institutionalization	Child, Institutionalized
Institutionalization	Deinstitutionalization
Institutionalization	Hospitalization
Insulin	Hyperinsulinism
Insulin	Nonsuppressible Insulin-Like Activity
Insulin	Proinsulin
Insulin	Receptor, Insulin
Insulin Coma	Convulsive Therapy
Insulin-Like Growth Factor I	Receptor, IGF Type 1
Insulin-Like Growth Factor II	Receptor, IGF Type 1
Insulin-Like Growth Factor II	Receptor, IGF Type 2
Insurance, Health	Medically Uninsured
Insurance, Health	Practice Patterns, Physicians'
Insurance, Major Medical	Catastrophic Illness
Interferon Inducers	Antineoplastic Agents
Interferon Inducers	Antiviral Agents
Interferon-gamma	Interferon-gamma Release Tests
Interferons	Receptors, Interferon
Interleukin-1	Receptors, Interleukin-1
Interleukin-2	Receptors, Interleukin-2
Interleukin-3	Receptors, Interleukin-3
International Cooperation	Congresses as Topic
International Educational Exchange	Foreign Medical Graduates
Interpersonal Relations	Codependency (Psychology)
Interpersonal Relations	Emotional Intelligence
Interpersonal Relations	Friends
Interprofessional Relations	Interdisciplinary Communication
Intervertebral Disc	Diskectomy
Intervertebral Disc Chemolysis	Chymopapain
Intervertebral Disc Displacement	Intervertebral Disc Chemolysis
Intervertebral Disc Displacement	Intervertebral Disc Degeneration
Intervertebral Disc Displacement	Sciatica
Intestinal Absorption	Malabsorption Syndromes
Intestinal Mucosa	Intestinal Secretions
Intestinal Secretions	Gastrointestinal Hormones
Intestines	Enterostomy
Intestines	Gastroenterostomy
Intracellular Membranes	Vesicular Transport Proteins
Intraocular Pressure	Glaucoma
Intraocular Pressure	Ocular Hypertension
Intraocular Pressure	Ocular Hypotension
Intraocular Pressure	Tonometry, Ocular
Intubation	Chest Tubes
Iodine	Iodine Isotopes
Iodine	Iodine Radioisotopes
Iodophors	Anti-Infective Agents, Local
Iodoproteins	Serum Albumin, Radio-Iodinated
Ion Channels	Ion Channel Gating
Ion Channels	Ion Pumps
Ion Exchange Resins	Chromatography, Ion Exchange
Ionophores	Cell Membrane Permeability
Ipecac	Cephaelis
Ipecac	Emetine
Iridium	Iridium Radioisotopes
Iron	Ferric Compounds
Iron	Ferritins
Iron	Ferrous Compounds
Iron	Hemosiderin
Iron	Hemosiderosis
Iron	Iron Isotopes
Iron	Iron Radioisotopes
Iron	Siderosis
Iron	Transferrin
Iron Chelating Agents	Siderophores
Islam	Arabs
Isoantibodies	Blood Group Antigens
Isotopes	Radioisotopes
Jaundice, Neonatal	Erythroblastosis, Fetal
Jaundice, Neonatal	Hyperbilirubinemia, Neonatal
Jaw	Dental Arch
Jaw	Temporomandibular Joint
Jejunostomy	Surgical Stomas
Jejunum	Jejunostomy
Jews	Judaism
Joint Instability	Joint Dislocations
Joint Prosthesis	Arthroplasty, Replacement
Joints	Arthrography
Joints	Arthroplasty
Joints	Arthroscopy
Judaism	Jews
Jurisprudence	Forensic Dentistry
Jurisprudence	Forensic Medicine
Jurisprudence	Lawyers
Juxtaglomerular Apparatus	Renin
Kainic Acid	Receptors, Kainic Acid
Kallikreins	Coagulants
Karyometry	Cytogenetic Analysis
Karyometry	Karyotyping
Karyotyping	Karyometry
Karyotyping	Karyotype
Keloid	Cicatrix, Hypertrophic
Keratins	Intermediate Filaments
Keratins	Keratinocytes
Keratoderma, Palmoplantar	Erythrokeratodermia Variabilis
Ketone Bodies	Ketosis
Ketosis	Ketone Bodies
Kidney	Diuresis
Kidney	Nephrectomy
Kidney	Radioisotope Renography
Kidney	Renal Circulation
Kidney Failure, Chronic	Renal Dialysis
Kidney Failure, Chronic	Uremia
Kidney Glomerulus	Glomerular Filtration Rate
Kidney Glomerulus	Renal Blood Flow, Effective
Kidney Glomerulus	Renal Plasma Flow, Effective
Kidneys, Artificial	Peritoneal Dialysis
Kidneys, Artificial	Renal Dialysis
Killer Cells, Natural	Receptors, Natural Killer Cell
Kindling, Neurologic	Seizures
Kinesics	Posture
Menkes Kinky Hair Syndrome	Ceruloplasmin
Menkes Kinky Hair Syndrome	Protein-Lysine 6-Oxidase
Menkes Kinky Hair Syndrome	Superoxide Dismutase
Klebsiella pneumoniae	Enterobacter aerogenes
Knee Prosthesis	Arthroplasty, Replacement, Knee
Knowledge of Results (Psychology)	Feedback
Krypton	Krypton Radioisotopes
Labor, Obstetric	Fetal Monitoring
Labor, Obstetric	Natural Childbirth
Labor, Obstetric	Oxytocics
Labor, Obstetric	Trial of Labor
Labor Presentation	Delivery, Obstetric
Labor Presentation	Version, Fetal
Labor Unions	Collective Bargaining
Labor Unions	Strikes, Employee
Labor, Induced	Oxytocics
Obstetric Labor, Premature	Infant, Premature
Obstetric Labor, Premature	Premature Birth
Obstetric Labor, Premature	Tocolytic Agents
Laboratories	Clinical Laboratory Services
Laboratories	Clinical Laboratory Techniques
Ear, Inner	Endolymph
Lacrimal Apparatus	Dacryocystorhinostomy
Lacrimal Apparatus	Tears
Lactation	Breast Feeding
Lactation	Colostrum
Lactation	Galactogogues
Lactation	Milk
Lactation	Milk, Human
Lactation Disorders	Galactorrhea
Laminin	Receptors, Laminin
Language	Multilingualism
Language	Sign Language
Language Development	Speech
Language Disorders	Speech Disorders
Larva	Imaginal Discs
Laryngectomy	Larynx, Artificial
Laryngectomy	Speech, Alaryngeal
Laryngoscopy	Laryngoscopes
Larynx	Laryngectomy
Larynx	Laryngoscopy
Larynx, Artificial	Speech, Alaryngeal
Lasers	Holography
Lasers	Optical Tweezers
Functional Laterality	Split-Brain Procedure
Latex	Latex Hypersensitivity
Laughter	Laughter Therapy
Laughter	Wit and Humor as Topic
Laundry Service, Hospital	Bedding and Linens
Laurence-Moon Syndrome	Intellectual Disability
Lead	Lead Radioisotopes
Learning Disorders	Dyslexia
Leeches	Leeching
Leg	Hindlimb
Leg	Leg Bones
Leg Injuries	Peroneal Neuropathies
Leg Injuries	Tibial Neuropathy
Leg Length Inequality	Bone Lengthening
Legal Guardians	Third-Party Consent
Legislation as Topic	Licensure
Legislation, Drug	Drug Prescriptions
Leigh Disease	Cytochrome-c Oxidase Deficiency
Leigh Disease	Pyruvate Dehydrogenase Complex Deficiency Disease
Leishmania	Leishmaniavirus
Lens Capsule, Crystalline	Capsulorhexis
Lens, Crystalline	Aphakia
Lenses, Intraocular	Lens Implantation, Intraocular
Leprosy	Leprostatic Agents
Lesch-Nyhan Syndrome	Hypoxanthine Phosphoribosyltransferase
Leukemia	Leukemic Infiltration
Leukemia, Radiation-Induced	Neoplasms, Second Primary
Leukemia, Radiation-Induced	Radiation Leukemia Virus
Leukocyte Count	Leukocytosis
Leukocytes	Phagocytosis
Leukocytosis	Leukocyte Count
Leukodystrophy, Globoid Cell	Galactosylceramidase
Leukodystrophy, Metachromatic	Cerebroside-Sulfatase
Levodopa	Dopamine
Luteinizing Hormone	Receptors, LH
Gonadotropin-Releasing Hormone	Kallmann Syndrome
Gonadotropin-Releasing Hormone	Receptors, LHRH
Phthiraptera	Lice Infestations
Licensure	Accreditation
Licensure	Certification
Life Expectancy	Longevity
Life Expectancy	Mortality, Premature
Life Cycle Stages	Life History Traits
Life Style	Health Behavior
Life Style	Quality of Life
Life Support Care	Resuscitation Orders
Life Support Systems	Incubators
Ligands	Radioligand Assay
Ligands	Receptors, Cell Surface
Light	Lighting
Light	Luminescent Measurements
Light	Photic Stimulation
Light	Photobiology
Light	Photochemistry
Light	Photochemotherapy
Light	Photometry
Light	Photosensitivity Disorders
Light	Photosynthesis
Light	Phototherapy
Light	Phototropism
Light	Sunlight
Light	Ultraviolet Therapy
Genetic Linkage	Gene Order
Genetic Linkage	Genotyping Techniques
Genetic Linkage	Synteny
Lipid Bilayers	Liposomes
Lipids	Fats
Lipids	Hyperlipidemias
Lipids	Hypolipidemic Agents
Mucopolysaccharidosis I	Iduronidase
Mucopolysaccharidosis I	Mucopolysaccharidosis II
Lipoid Proteinosis of Urbach and Wiethe	Hyalinosis, Systemic
Lipoprotein Lipase	Hyperlipoproteinemia Type I
Hyperlipoproteinemia Type I	Apolipoprotein C-II
Hyperlipoproteinemia Type I	Lipoprotein Lipase
Lipoproteins	Apolipoproteins
Lipoproteins	Hyperlipoproteinemias
Lipoproteins	Hypolipoproteinemias
Lipoproteins	Lipid-Linked Proteins
Lipoproteins	Lipoid Proteinosis of Urbach and Wiethe
Lipoproteins	Proteolipids
Lipoproteins	Receptors, Lipoprotein
Lipoproteins, HDL	Tangier Disease
Lipoproteins, LDL	Receptors, LDL
Lipreading	Deafness
Literature	Medicine in Literature
Lithium	Lithium Compounds
Lithotripsy	High-Energy Shock Waves
Litter Size	Pregnancy
Litter Size	Viviparity, Nonmammalian
Liver	Hepatectomy
Liver Circulation	Enterohepatic Circulation
Liver Circulation	Portal System
Locomotion	Gait
Long-Term Care	Insurance, Long-Term Care
Long-Acting Thyroid Stimulator	Hyperthyroidism
Long-Acting Thyroid Stimulator	Receptors, Thyroid Hormone
Longevity	Aged
Longevity	Aged, 80 and over
Longevity	Life Expectancy
Love	Courtship
Lumbosacral Region	Low Back Pain
Lung	Air Sacs
Lung	Pneumonectomy
Lung	Pulmonary Circulation
Lung	Respiration
Lung Compliance	Respiratory Mechanics
Lung Diseases	Pulmonary Heart Disease
Lung Diseases, Obstructive	Airway Obstruction
Lung Neoplasms	Carcinoma, Non-Small-Cell Lung
Lung Neoplasms	Carcinoma, Small Cell
Lupus Erythematosus, Discoid	Panniculitis, Lupus Erythematosus
Lupus Erythematosus, Systemic	Antiphospholipid Syndrome
Lupus Erythematosus, Systemic	Lupus Coagulation Inhibitor
Lupus Erythematosus, Systemic	Vasculitis, Central Nervous System
Deception	Fraud
Deception	Lie Detection
Deception	Malingering
Deception	Professional Misconduct
Deception	Quackery
Lymph Nodes	Lymph Node Excision
Lymph Nodes	Lymphography
Lymphatic Diseases	Chylothorax
Lymphatic Diseases	Leukemia, Lymphoid
Lymphatic Diseases	Lymphoma
Lymphatic Metastasis	Sentinel Lymph Node
Lymphatic System	Lymphography
Lymphedema	Yellow Nail Syndrome
Lymphocyte Activation	Blast Crisis
Lymphocytes	Antilymphocyte Serum
Lymphocytosis	Leukemia, Large Granular Lymphocytic
Lymphoid Tissue	Lymphography
Lymphokines	Immunity, Cellular
Lymphopenia	Lymphocyte Depletion
Lymphopenia	Protein-Losing Enteropathies
Lysogeny	Prophages
Lysogeny	Virus Activation
Macroglossia	Beckwith-Wiedemann Syndrome
Macrophages	Phagocytosis
Macular Degeneration	Vitelliform Macular Dystrophy
Magnetic Resonance Imaging	Anatomy, Cross-Sectional
Magnetic Resonance Imaging	Magnetic Resonance Spectroscopy
Magnetics	Magnets
Major Histocompatibility Complex	Genes, MHC Class I
Malaria	Antimalarials
Malignant Hyperthermia	Fever
Malocclusion	Dentition
Malocclusion	Mandibular Advancement
Malocclusion	Orthodontics, Corrective
Malocclusion	Prognathism
Malocclusion, Angle Class III	Prognathism
Malpractice	Insurance, Liability
Malpractice	Professional Misconduct
Mammary Tumor Virus, Mouse	Minor Lymphocyte Stimulatory Antigens
Mammary Tumor Virus, Mouse	Minor Lymphocyte Stimulatory Loci
Mandible	Chin
Mandible	Temporomandibular Joint
Mandibular Condyle	Temporomandibular Joint
Mandibular Prosthesis	Mandibular Prosthesis Implantation
Manipulation, Orthopedic	Chiropractic
alpha-Mannosidosis	alpha-Mannosidase
Manure	Feces
Maps as Topic	Geographic Mapping
Marfan Syndrome	Loeys-Dietz Syndrome
Marfan Syndrome	Weill-Marchesani Syndrome
Marijuana Smoking	Smoking
Marine Biology	Aquatic Organisms
Marine Biology	Plankton
Marital Therapy	Couples Therapy
Marriage	Premarital Examinations
Marriage	Spouses
Mass Behavior	Civil Disorders
Mass Behavior	Riots
Mass Screening	Sensitivity and Specificity
Mastication	Tooth
Mastoiditis	Lateral Sinus Thrombosis
Materia Medica	Homeopathy
Materia Medica	Medicine, Traditional
Materia Medica	Phytotherapy
Materia Medica	Plant Extracts
Materials Testing	Biocompatible Materials
Materials Testing	Hemorheology
Maternal Health Services	Maternal Health
Maternal Health Services	Maternal Welfare
Maternal Welfare	Maternal Health
Maternal Welfare	Maternal Health Services
Maternal-Fetal Exchange	Abnormalities, Drug-Induced
Maternal-Fetal Exchange	Maternal-Fetal Relations
Maternal-Fetal Exchange	Placental Circulation
Maxilla	Maxillofacial Development
Maxillofacial Development	Cephalometry
Maxillofacial Development	Vertical Dimension
Maxillofacial Prosthesis	Mandibular Prosthesis
Maxillofacial Prosthesis	Maxillofacial Prosthesis Implantation
Measles virus	Subacute Sclerosing Panencephalitis
Mechanoreceptors	Mechanotransduction, Cellular
Mechanoreceptors	Proprioception
Meckel Diverticulum	Vitelline Duct
Median Nerve	Carpal Tunnel Syndrome
Mediastinoscopy	Mediastinoscopes
Mediastinum	Mediastinoscopy
Mediastinum	Pneumomediastinum, Diagnostic
Medical History Taking	Data Collection
Medical Indigency	Medically Uninsured
Medical Indigency	Uncompensated Care
Medical Informatics	American Recovery and Reinvestment Act
Medical Informatics	Biomedical Technology
Medical Missions, Official	Missionaries
Medical Missions, Official	Religious Missions
Medical Oncology	Neoplasms
Medical Record Linkage	Electronic Health Records
Medical Records	Forms and Records Control
Medical Records	Medical History Taking
Medical Waste	Blood-Borne Pathogens
Medically Underserved Area	Health Services Accessibility
Medication Errors	Drug Overdose
Medication Systems, Hospital	Clinical Pharmacy Information Systems
Medication Systems, Hospital	Medical Order Entry Systems
Medicine	Economics, Medical
Medicine	Education, Medical
Medicine	History of Medicine
Medicine	Legislation, Medical
Medicine, Chinese Traditional	Acupuncture Therapy
Medicine, Chinese Traditional	Drugs, Chinese Herbal
Medicine, Chinese Traditional	Medicine, Tibetan Traditional
Medicine, Chinese Traditional	Yang Deficiency
Medicine, Chinese Traditional	Yin Deficiency
Phytotherapy	Drugs, Chinese Herbal
Phytotherapy	Ethnobotany
Phytotherapy	Ethnopharmacology
Phytotherapy	Flower Essences
Phytotherapy	Pharmacognosy
Phytotherapy	Plant Extracts
Phytotherapy	Plants, Medicinal
Medicine, East Asian Traditional	Acupuncture Therapy
Medicine, Traditional	Ethnobotany
Medicine, Traditional	Ethnopharmacology
Medicine, Traditional	Health Services, Indigenous
Medicine, Traditional	Materia Medica
Medicine, Traditional	Pharmacognosy
Medicine, Traditional	Plants, Medicinal
Medicine, Traditional	Shamanism
Medicine, Traditional	Traditional Pulse Diagnosis
Megaloblasts	Anemia, Megaloblastic
Meibomian Glands	Chalazion
Meiosis	Maturation-Promoting Factor
Membrane Fusion	HIV Fusion Inhibitors
Membranes	Cell Membrane
Membranes	Cell Wall
Membranes	Intracellular Membranes
Membranes	Membrane Lipids
Membranes	Membrane Proteins
Membranes	Neurilemma
Membranes	Nuclear Envelope
Membranes	Synovial Membrane
Meniere Disease	Endolymphatic Hydrops
Meniere Disease	Transtympanic Micropressure Treatment
Meningitis	Meningeal Carcinomatosis
Meningitis	Subdural Effusion
Menopause	Estrogen Replacement Therapy
Menopause	Hot Flashes
Menopause	Osteoporosis, Postmenopausal
Menopause	Postmenopause
Menopause	Premenopause
Menopause, Premature	Primary Ovarian Insufficiency
Menotropins	Receptors, Gonadotropin
Menstrual Cycle	Estrous Cycle
Menstruation	Menstruation-Inducing Agents
Menstruation	Premenstrual Syndrome
Mercury	Mercury Isotopes
Mercury	Mercury Radioisotopes
Mercury	Organomercury Compounds
Metabolic Clearance Rate	Hepatobiliary Elimination
Metabolic Clearance Rate	Renal Elimination
Metacarpus	Metacarpal Bones
Metals	Organometallic Compounds
Metatarsal Bones	Metatarsus
Metatarsus	Metatarsal Bones
Methacrylates	Polymethacrylic Acids
Methadone	Opiate Substitution Treatment
Methicillin	Methicillin Resistance
Methylenetetrahydrofolate Dehydrogenase (NADP)	Formate-Tetrahydrofolate Ligase
Methylenetetrahydrofolate Dehydrogenase (NADP)	Methenyltetrahydrofolate Cyclohydrolase
Mice, Inbred C57BL	Carcinoma, Lewis Lung
Micelles	Colloids
Micelles	Emulsions
Microbial Sensitivity Tests	Drug Resistance, Microbial
Microbial Sensitivity Tests	Inhibitory Concentration 50
Microbial Sensitivity Tests	Parasitic Sensitivity Tests
Microbiological Phenomena	Dysbiosis
Microbiology	Archaea
Microbiology	Bacteria
Microbiology	Fungi
Microbiology	Viruses
Microchemistry	Biosensing Techniques
Microchemistry	Miniaturization
Microchemistry	Nanotechnology
Micromanipulation	Microchip Analytical Procedures
Microscopy, Electron, Scanning	Corrosion Casting
Microspheres	Enzymes, Immobilized
Microspheres	Microbubbles
Microsurgery	Microdissection
Microtubules	Tubulin Modulators
Microwaves	Diathermy
Middle Ear Ventilation	Tympanocentesis
Midwifery	Home Childbirth
Midwifery	Nurse Midwives
Military Personnel	Veterans
Milk	Lactation
Milk Ejection	Breast Milk Expression
Milk, Human	Breast Feeding
Milk, Human	Lactation
Milk, Human	Milk Banks
Mineral Waters	Natural Springs
Miniaturization	Microchemistry
Minority Groups	Minority Health
Miotics	Adrenergic Antagonists
Miotics	Cholinesterase Inhibitors
Miotics	Muscarinic Agonists
Miotics	Parasympathomimetics
Miotics	Sympatholytics
Religious Missions	Medical Missions, Official
Religious Missions	Missionaries
Religious Missions	Monks
Religious Missions	Nuns
Mitochondria, Muscle	Mitochondrial Encephalomyopathies
Mitochondria, Muscle	Mitochondrial Myopathies
Mitochondrial Swelling	Mitochondrial Size
Mitogens	Receptors, Mitogen
Mitosis	Antimitotic Agents
Mitosis	Maturation-Promoting Factor
Mitosis	Mitogens
Mitosis	Mitotic Index
Spindle Apparatus	Centromere
Spindle Apparatus	Centrosome
Spindle Apparatus	Kinetochores
Spindle Apparatus	Microtubules
Models, Anatomic	Manikins
Models, Biological	Bionics
Models, Biological	Disease Models, Animal
Models, Biological	Patient-Specific Modeling
Models, Molecular	Molecular Conformation
Models, Molecular	Molecular Structure
Models, Neurological	Kindling, Neurologic
Models, Psychological	Probability Learning
Molecular Biology	Biochemical Phenomena
Molecular Biology	Genetic Phenomena
Molecular Biology	Genetic Structures
Molecular Conformation	Models, Molecular
Molecular Sequence Data	Sequence Alignment
Mollusca	Shellfish
Monitoring, Physiologic	Signal Processing, Computer-Assisted
Monoamine Oxidase Inhibitors	Antidepressive Agents
Morale	Courage
Morals	Conflict of Interest
Morals	Retrospective Moral Judgment
Morphine	Receptors, Opioid
Mortality	Fatal Outcome
Mosaicism	Chimerism
Mosaicism	Mice, Transgenic
Mosquito Control	Chemosterilants
Mosquito Control	Insecticide Resistance
Mosquito Control	Pest Control, Biological
Mothers	Maternal Behavior
Motion	Movement
Motion Pictures as Topic	Cineangiography
Motion Pictures as Topic	Cineradiography
Motivation	Cognitive Dissonance
Motivation	Intention
Motivation	Libido
Motor Activity	Hyperkinesis
